Sample	2015	2016	2017
NJAU_C151	18.858	16.7085	12.21333333
NJAU_C152	14.83	13.907	15.94
NJAU_C153	13.04666667	13.25166667	21.91666667
NJAU_C154	11.631	10.978	10.01666667
NJAU_C155	8.239	8.981333333	13.6
NJAU_C156	13.039	16.95866667	18.68333333
NJAU_C157	10.25666667	10.53866667	19.71333333
NJAU_C158	10.754	12.121	31.07333333
NJAU_C159	21.371	20.454	17.88
NJAU_C160	6.389666667	11.82	28.95333333
NJAU_C161	14.90233333	12.84433333	10.66
NJAU_C162	10.029	9.867666667	20.82666667
NJAU_C163	17.549	17.908	17.59666667
NJAU_C164	26.85566667	27.50666667	27.66333333
NJAU_C165	7.971333333	9.661666667	36.60333333
NJAU_C166	28.1835	31.8885	15.53333333
NJAU_C167	15.28366667	12.529	22.76666667
NJAU_C168	23.47133333	23.79233333	17.59333333
NJAU_C169	7.333333333	9.251	17.33
NJAU_C170	20.45333333	23.15333333	14.31666667
NJAU_C171	11.851	17.516	8.93
NJAU_C172	18.31266667	18.903	17.82333333
NJAU_C173	11.47133333	13.144	20.69333333
NJAU_C174	10.58733333	14.2195	17.4
NJAU_C175	19.501	18.14266667	14.27333333
NJAU_C176	19.411	19.07133333	14.96
NJAU_C177	14.241	15.6305	6.916666667
NJAU_C178	14.202	17.14866667	17.49
NJAU_C179	11.58333333	13.846	24.91
NJAU_C180	7.215666667	7.418333333	18.71666667
NJAU_C181	16.0165	16.07433333	22.51333333
NJAU_C182	12.289	13.06066667	21.39
NJAU_C183	10.7	18.407	17.04
NJAU_C184	5.217	6.357	17.53
NJAU_C185	11.3	17.5315	24.62333333
NJAU_C186	19.43566667	24.88766667	16.50333333
NJAU_C187	12.41	16.30366667	18.67
NJAU_C188	16.12	24.965	29.46333333
NJAU_C189	15.657	16.6815	27.33333333
NJAU_C190	20.94333333	25.09766667	7.083333333
NJAU_C191	13.49866667	13.88066667	20.27
NJAU_C192	5.079	7.0195	16.71
NJAU_C193	13.69766667	16.3165	24.79666667
NJAU_C194	17.14466667	19.41733333	26.49666667
NJAU_C195	13.32533333	19.868	19.17333333
NJAU_C196	17.43766667	25.94133333	22.67666667
NJAU_C197	17.78233333	19.66766667	15.92333333
NJAU_C198	15.267	16.13866667	21.68666667
NJAU_C199	15.57133333	18.583	23.14666667
NJAU_C200	16.75333333	19.57833333	21.58
NJAU_C201	16.53333333	19.15	11.28666667
NJAU_C202	12.378	15.56566667	19.19666667
NJAU_C203	35.511	24.67433333	28.02666667
NJAU_C204	13.03	13.627	NA
NJAU_C205	23.43	20.15866667	NA
NJAU_C206	17.11533333	19.547	NA
NJAU_C207	8.620333333	12.90533333	22.42666667
NJAU_C208	13.63	16.72866667	NA
NJAU_C209	16.86166667	19.1605	13.10666667
NJAU_C210	9.607666667	11.602	30.6
NJAU_C211	18.329	25.81033333	9.726666667
NJAU_C212	7.491333333	8.362	11.38333333
NJAU_C213	15.17666667	17.644	NA
NJAU_C214	19.83266667	18.49333333	NA
NJAU_C215	9.73	15.621	9.146666667
NJAU_C216	24.27766667	12.974	NA
NJAU_C217	22.56666667	20.20233333	NA
NJAU_C218	5.133	7.561	25.24333333
NJAU_C219	20.439	22.44	8.146666667
