Sample	2015	2016	2017
NJAU_C083	41.93	41.5	NA
NJAU_C084	40.21	43.88	41.46
NJAU_C085	37.73	40.44	39.76
NJAU_C086	44.49	45.98	42.21
NJAU_C087	42.58	44.62	43.01
NJAU_C088	39.02	45.5	42.96
NJAU_C089	50.08	47.51	46.45
NJAU_C090	45.5	47.97	47.82
NJAU_C091	44.56	46.61	44.86
NJAU_C092	44.97	46.7	45.45
NJAU_C093	40.31	44.72	44.65
NJAU_C094	39.1	38.69	40.65
NJAU_C095	40.89	45.74	47.08
NJAU_C096	42.48	45.2	45.47
NJAU_C097	43.19	45.17	43.92
NJAU_C098	41.52	44.01	42.69
NJAU_C099	42.43	40.74	39.8
NJAU_C100	39	41.67	42.53
NJAU_C101	43.08	44.32	44.6
NJAU_C102	42.39	42.98	43.1
NJAU_C103	41.36	43.69	41.53
NJAU_C104	41.11	42.61	42.51
NJAU_C105	42.51	46.83	43.81
NJAU_C106	41.25	42.94	41.34
NJAU_C107	43.73	46.46	45.12
NJAU_C108	40.59	43.83	41.77
NJAU_C109	39.23	43.28	41.12
NJAU_C110	45.29	48.2	45.95
NJAU_C111	42.43	43.34	44.24
NJAU_C112	44.28	44.31	42.92
NJAU_C113	45.31	47.66	44.35
NJAU_C114	41.95	44.02	43.33
NJAU_C115	40.99	46.07	45.79
NJAU_C116	41.24	45.36	44.79
NJAU_C117	45.29	47.32	45.05
NJAU_C118	44.7	45.77	44.59
NJAU_C119	43.57	46.4	42.87
NJAU_C120	44.01	46.19	44.55
NJAU_C121	40.59	43.96	40.95
NJAU_C123	40.72	42.73	41.61
NJAU_C124	42.47	46.18	43.05
NJAU_C125	42.38	45.38	43.15
NJAU_C126	37.75	40.61	37.95
NJAU_C127	41.4	42.81	42.13
NJAU_C128	41.7	42.64	40.13
NJAU_C129	40.56	43.81	43.8
NJAU_C130	41.29	44.61	42.98
NJAU_C131	43.47	46.06	46.09
NJAU_C132	40.99	43.03	41.9
NJAU_C133	40.5	43.04	41.02
NJAU_C135	41.34	45.84	43.06
NJAU_C137	41.81	44.72	42.29
NJAU_C138	43.96	46.63	44.63
NJAU_C139	40.5	44.15	39.73
NJAU_C140	39.61	41.47	39.18
NJAU_C141	39.86	41.76	42.22
NJAU_C142	43.14	46.43	44.18
NJAU_C143	40.07	41.98	42.16
NJAU_C144	41.72	40.93	41.84
NJAU_C145	41.63	46.51	42.5
NJAU_C146	44.8	45.12	45.67
NJAU_C147	43.38	44.37	45.37
NJAU_C148	38.55	40.89	40.55
NJAU_C149	42.91	45.39	45
NJAU_C150	40.72	46.39	40.49
NJAU_C151	47.97	47.52	46.92
NJAU_C152	39.6	42.03	42.84
NJAU_C153	41.39	42.3	42.98
NJAU_C154	40.17	41.26	43.14
NJAU_C155	44.06	45.89	42.77
NJAU_C156	41.68	41.16	41.85
NJAU_C157	43.72	44.66	44.14
NJAU_C158	43.12	44.47	42.79
NJAU_C159	44.72	46.07	44.48
NJAU_C160	40.98	42.4	40.75
NJAU_C161	37.88	41.65	40.48
NJAU_C162	42.58	43.72	41.83
NJAU_C163	41.94	43.3	41.59
NJAU_C164	42.35	44.55	44.17
NJAU_C165	36.15	39.5	38.89
NJAU_C166	40.38	44.4	42.58
NJAU_C167	46.95	44.41	44.62
NJAU_C168	42.64	46.23	42.69
NJAU_C169	44.43	44.41	45.24
NJAU_C171	45.2	47.11	43.46
NJAU_C172	43.69	44.76	43.75
NJAU_C173	44.08	49.4	47.14
NJAU_C174	38.46	41.92	41.87
NJAU_C175	37.55	40.3	40.95
NJAU_C176	42.64	45.03	45.9
NJAU_C177	38.68	42.12	41.93
NJAU_C178	47.23	50.3	48.98
NJAU_C179	43.78	46	43.42
NJAU_C180	43.77	43.62	44.86
NJAU_C181	43.26	46.54	42.98
NJAU_C182	40.09	42.51	42.65
NJAU_C183	43.61	44.9	44.64
NJAU_C184	42.64	44.92	42.86
NJAU_C185	44	47.34	47.49
NJAU_C186	41.18	42.3	42.06
NJAU_C187	42.6	46.4	44.26
NJAU_C188	44.95	46.32	47.14
NJAU_C189	40.16	40.99	41.59
NJAU_C190	43.87	46.21	44.21
NJAU_C191	43.85	46.43	46.3
NJAU_C193	40.58	41.71	41.94
NJAU_C194	38.74	41.43	42.92
NJAU_C195	39.62	40.66	40.6
NJAU_C196	42.09	43.2	43.62
NJAU_C197	40.83	44.66	43.63
NJAU_C198	41.97	43.9	42.85
NJAU_C199	42.01	43.15	44.66
NJAU_C200	40.4	39.34	38.6
NJAU_C201	44.08	43.75	45.44
NJAU_C202	38.25	38.24	39.33
NJAU_C203	41	40.65	41.27
NJAU_C204	41.99	41.23	44.87
NJAU_C205	41.9	41.86	43.72
NJAU_C206	44.63	41.86	42.17
NJAU_C207	44.34	44.24	43.48
NJAU_C208	42.83	44.91	44.63
NJAU_C209	44.24	45.76	44.22
NJAU_C211	39.08	45.05	41.58
NJAU_C212	39.54	40.22	39.1
NJAU_C213	43.34	42.87	41.94
NJAU_C214	43.23	46.43	44.6
NJAU_C215	40.31	42.81	42.88
NJAU_C216	36.35	38.85	37.25
NJAU_C217	40.46	43.9	40.85
NJAU_C218	41.69	46.06	45.29
NJAU_C219	43.43	46.11	45.56
