Sample	2015	2016	2017
NJAU_C093	14.39	14.92	15.76
NJAU_C094	17.37	19.01	18.42
NJAU_C095	14.93	14	15.93
NJAU_C096	14.34	15.65	16.2
NJAU_C097	14.52	16.03	16.86
NJAU_C098	15.8	16.84	17.99
NJAU_C099	14.87	18.58	19.75
NJAU_C100	17.04	16.7	18.83
NJAU_C101	17.61	19.99	21.01
NJAU_C102	18.55	20.08	20.65
NJAU_C103	17.22	17.37	19.33
NJAU_C104	17.35	17.06	18.16
NJAU_C105	14.72	13.49	16.84
NJAU_C106	15.53	16.89	19.18
NJAU_C107	14.72	15.45	16.48
NJAU_C108	18.66	19.43	20.17
NJAU_C109	16.53	15.45	17.04
NJAU_C110	17.78	16.23	17.33
NJAU_C111	14.95	14.82	15.93
NJAU_C112	16.19	14.2	16.27
NJAU_C113	12.71	14.28	15.67
NJAU_C114	15.35	15	16.45
NJAU_C115	16.65	14.47	16.23
NJAU_C116	20.48	19.16	21.57
NJAU_C117	18.99	17	17.98
NJAU_C118	18.5	20.19	20.3
NJAU_C119	15.13	13.24	16.03
NJAU_C120	17.23	17.16	18.58
NJAU_C121	17.25	16.84	18.95
NJAU_C123	17.7	18.19	18.82
NJAU_C124	15.18	13.18	16.22
NJAU_C125	15.04	14.22	16.22
NJAU_C126	17.33	16.41	18.95
NJAU_C127	14.69	14.06	16.19
NJAU_C128	17.22	17.49	19.53
NJAU_C129	16.98	15.13	16.63
NJAU_C130	16.08	16.87	18.21
NJAU_C131	18.73	19.5	20.26
NJAU_C132	20.22	17.71	20.78
NJAU_C133	17.32	16.45	17.46
NJAU_C135	15.09	13.11	16.05
NJAU_C137	16.17	15.09	17.28
NJAU_C138	14.45	14.72	17.08
NJAU_C139	16.7	16.41	18.3
NJAU_C140	14.86	15.9	17.94
NJAU_C141	17.22	16.11	17.9
NJAU_C142	14.61	14.68	17.47
NJAU_C143	17.7	17.56	18.63
NJAU_C144	14.14	16.34	17.6
NJAU_C145	14.45	16.71	17.16
NJAU_C146	14.82	17.07	17.1
NJAU_C147	21.27	21.99	22.15
NJAU_C148	17.31	17.18	18.45
NJAU_C149	18.74	18.14	21.12
NJAU_C150	13.08	17.1	16.96
NJAU_C151	19.57	21.76	23
NJAU_C152	16.55	16.51	18.73
NJAU_C153	18.5	17.65	19.59
NJAU_C154	18.71	17.99	20.72
NJAU_C155	17.97	18.89	21.58
NJAU_C156	14.32	15.02	17.58
NJAU_C157	20.79	20.54	21.99
NJAU_C158	15.9	15.48	18.53
NJAU_C159	16.48	19	19.52
NJAU_C160	14.7	16.18	17.86
NJAU_C161	16.94	15.7	17.99
NJAU_C162	15.38	15.85	17.63
NJAU_C163	17.93	20.1	20.73
NJAU_C164	17.46	17.01	18.65
NJAU_C165	16.82	17.71	18.99
NJAU_C166	16.03	14.97	16.72
NJAU_C167	18.08	19.79	19.61
NJAU_C168	13.67	15.54	17.7
NJAU_C169	16.72	16.79	18.21
NJAU_C171	13.75	14.57	16.48
NJAU_C172	13.9	15.69	16.96
NJAU_C173	14.29	11.53	14.62
NJAU_C174	15.99	14.73	16.78
NJAU_C175	17.09	15.79	17.34
NJAU_C176	13.5	13.58	14.66
NJAU_C177	17.25	16.91	18.93
NJAU_C178	18.03	17.87	21.09
NJAU_C179	13.07	13.59	15.58
NJAU_C180	16.39	16.43	18.35
NJAU_C181	19.7	17.68	20.06
NJAU_C182	15.68	15.53	17.47
NJAU_C183	14.3	14.52	16.94
NJAU_C184	14.74	15.08	18.14
NJAU_C185	15.67	14.97	16.94
NJAU_C186	17.48	15.49	17.12
NJAU_C187	14.56	15.07	16.38
NJAU_C188	16.64	17.56	17.85
NJAU_C189	16.42	17.38	18.62
NJAU_C190	13.72	15.57	16.91
NJAU_C191	14.94	14.79	15.19
NJAU_C193	16.92	18.24	18.57
NJAU_C194	17.07	17.46	17.3
NJAU_C195	17.22	17.97	18.13
NJAU_C196	13.37	14.23	15.13
NJAU_C197	14.63	13.1	15.04
NJAU_C198	14.66	16.88	17.06
NJAU_C199	14.46	15.89	16.21
NJAU_C200	16.4	17.93	18.59
NJAU_C201	11.04	12.13	12.23
NJAU_C202	18.42	19.23	20.3
NJAU_C203	15.1	16.23	16.37
NJAU_C204	15.99	16.85	16.17
NJAU_C205	15.68	15.37	16.25
NJAU_C206	16.22	16.67	17.64
NJAU_C207	13.66	14.93	16.39
NJAU_C208	15.68	14.52	16.98
NJAU_C209	19.09	18.71	20.77
NJAU_C211	17.57	16	18.46
NJAU_C212	17.85	18.4	17.66
NJAU_C213	15.6	16.45	18.14
NJAU_C214	15.82	16.96	17.17
NJAU_C215	17.27	16.57	18.24
NJAU_C216	18.56	18.54	20.56
NJAU_C217	18.46	17.82	20.23
NJAU_C218	16.64	15.93	16.26
NJAU_C219	15.05	15.35	16.84
