Sample	2015	2016	2017	Average
NJAU_C050	12.53433333	17.04633333	18.01333333	15.86466666
NJAU_C051	13.811	18.089	13.41666667	15.10555556
NJAU_C052	13.36766667	17.523	9.37	13.42022222
NJAU_C053	6.533666667	10.74766667	25.73333333	14.33822222
NJAU_C054	7.230333333	8.593333333	24.90666667	13.57677778
NJAU_C055	20.4	27.74333333	22.77666667	23.64
NJAU_C056	19.01666667	24.01866667	18.78333333	20.60622222
NJAU_C057	18.519	17.49	17.31666667	17.77522222
NJAU_C058	12.602	19.952	11.77	14.77466667
NJAU_C059	16.26	13.01866667	25.6	18.29288889
NJAU_C060	11.22933333	13.95933333	25.21	16.79955555
NJAU_C061	18.07833333	20.69333333	22.55	20.44055555
NJAU_C062	20.21333333	20.758	23.51666667	21.496
NJAU_C063	20.06433333	22.445	14.27333333	18.92755555
NJAU_C064	20.5	21.60666667	14.47333333	18.86
NJAU_C065	9.921	9.437	24.33333333	14.56377778
NJAU_C066	10.889	14.349	21.97666667	15.73822222
NJAU_C067	10.775	NA	16.44666667	13.61083334
NJAU_C068	15.81433333	33.421	18.34666667	22.52733333
NJAU_C069	15.56833333	15.074	21.35666667	17.333
NJAU_C070	14.17666667	19.71333333	21.41666667	18.43555556
NJAU_C071	18.77333333	19.014	15.44333333	17.74355555
NJAU_C072	15.50566667	18.732	8.316666667	14.18477778
NJAU_C073	10.21466667	13.62766667	19.16666667	14.33633334
NJAU_C074	6.649	7.780666667	18.21	10.87988889
NJAU_C075	20.142	15.02733333	15.51	16.89311111
NJAU_C076	13.679	13.84966667	10.99	12.83955556
NJAU_C077	12.22766667	15.25766667	19.4	15.62844445
NJAU_C078	8.249	9.6215	15.01333333	10.96127778
NJAU_C079	15.73333333	14.91433333	12.01	14.21922222
NJAU_C080	12.135	14.63866667	17.49666667	14.75677778
NJAU_C081	8.567333333	13.549	15.19	12.43544444
NJAU_C082	15.011	12.57233333	8.993333333	12.19222222
NJAU_C083	9.416666667	12.44933333	20.64333333	14.16977778
NJAU_C084	7.155666667	8.658666667	8.643333333	8.152555556
NJAU_C085	13.862	14.07	14.94	14.29066667
NJAU_C086	13.12233333	13.80633333	16.09333333	14.34066666
NJAU_C087	7.172	6.467666667	14.06333333	9.234333332
NJAU_C088	NA	15.9915	18.09	17.04075
NJAU_C089	12.13666667	12.24233333	19.27	14.54966667
NJAU_C090	10.338	13.05766667	18.46666667	13.95411111
NJAU_C091	13.14666667	15.38666667	22.61	17.04777778
NJAU_C092	12.97433333	10.839	15.58333333	13.13222222
NJAU_C093	14.71366667	17.15566667	16.6	16.15644445
NJAU_C094	14.10333333	16.61933333	20.42	17.04755555
NJAU_C095	21.55566667	21.55766667	16.62666667	19.91333334
NJAU_C096	9.205666667	11.93366667	18.32	13.15311111
NJAU_C097	23.37033333	14.656	20.70333333	19.57655555
NJAU_C098	18.33333333	22.9685	20.84666667	20.71616667
NJAU_C099	10.39666667	10.66366667	25.19	15.41677778
NJAU_C100	26.25	30.31366667	49.62333333	35.39566667
NJAU_C101	10.46566667	11.69233333	14.54666667	12.23488889
NJAU_C102	4.707666667	7.561	24.11	12.12622222
NJAU_C103	13.50533333	18.15266667	17.89	16.516
NJAU_C104	8.568666667	12.17533333	10.84333333	10.52911111
NJAU_C105	16.091	15.757	19.82333333	17.22377778
NJAU_C106	8.944333333	13.87633333	14.11	12.31022222
NJAU_C107	21.42233333	17.5265	17.01666667	18.65516667
NJAU_C108	22.019	21.38833333	13.72666667	19.04466667
NJAU_C109	14.01133333	17.69233333	22.38666667	18.03011111
NJAU_C110	22.91733333	20.49966667	12.53333333	18.65011111
NJAU_C111	18.29466667	19.91233333	19.29666667	19.16788889
NJAU_C112	17.03333333	19.39033333	12.72666667	16.38344444
NJAU_C113	11.631	12.2585	9.813333333	11.23427778
NJAU_C114	18.16233333	16.80766667	22.68666667	19.21888889
NJAU_C115	9.153	12.213	14.81333333	12.05977778
NJAU_C116	16.782	15.005	13.07666667	14.95455556
NJAU_C117	10.831	11.467	12.03333333	11.44377778
NJAU_C118	7.87	9.542666667	26.21333333	14.542
NJAU_C119	19.232	21.00733333	13.17333333	17.80422222
NJAU_C120	10.72666667	10.9365	12.1	11.25438889
NJAU_C121	9.041666667	11.355	17.26666667	12.55444445
NJAU_C122	9.430333333	11.02166667	20.05666667	13.50288889
NJAU_C123	21.51	22.84933333	14.63333333	19.66422222
NJAU_C124	11.969	12.3975	13.08666667	12.48438889
NJAU_C125	9.661333333	12.8015	11.06333333	11.17538889
NJAU_C126	17.67366667	14.09133333	30.48	20.74833333
NJAU_C127	13.389	14.96266667	20.4	16.25055556
NJAU_C128	11.17	27.42266667	21.84666667	20.14644445
NJAU_C129	11.44533333	11.337	10.60666667	11.12966667
NJAU_C130	11.17333333	17.288	22.35333333	16.93822222
NJAU_C131	11.225	9.378	26.25333333	15.61877778
NJAU_C132	25.334	25.00233333	14.99666667	21.77766667
NJAU_C133	17.96666667	16.27033333	24.74333333	19.66011111
NJAU_C134	17.78566667	21.0115	20.94333333	19.9135
NJAU_C135	8.29	9.491	4.946666667	7.575888889
NJAU_C136	13.73333333	19.50333333	17.39	16.87555555
NJAU_C137	11.578	17.35066667	16.61333333	15.18066667
NJAU_C138	11.033	16.0885	24.35333333	17.15827778
NJAU_C139	19.4	24.893	11.00666667	18.43322222
NJAU_C140	6.544333333	9.446	13.04666667	9.679000001
NJAU_C141	20.189	22.63866667	18.36666667	20.39811111
NJAU_C142	13.01566667	11.865	11.46333333	12.11466667
NJAU_C143	21.06133333	22.63233333	17.44666667	20.38011111
NJAU_C144	10.07433333	9.965333333	12.49	10.84322222
NJAU_C145	17.394	10.04	22.93	16.788
NJAU_C146	5.744333333	6.337	19.06	10.38044444
NJAU_C147	13.484	15.492	16.78666667	15.25422222
NJAU_C148	9.978	9.707333333	14.05	11.24511111
NJAU_C149	7.973333333	12.73466667	10.28666667	10.33155556
NJAU_C150	10.73333333	13.931	19.12	14.59477778
NJAU_C151	18.858	16.7085	12.21333333	15.92661111
NJAU_C152	14.83	13.907	15.94	14.89233333
NJAU_C153	13.04666667	13.25166667	21.91666667	16.07166667
NJAU_C154	11.631	10.978	10.01666667	10.87522222
NJAU_C155	8.239	8.981333333	13.6	10.27344444
NJAU_C156	13.039	16.95866667	18.68333333	16.227
NJAU_C157	10.25666667	10.53866667	19.71333333	13.50288889
NJAU_C158	10.754	12.121	31.07333333	17.98277778
NJAU_C159	21.371	20.454	17.88	19.90166667
NJAU_C160	6.389666667	11.82	28.95333333	15.721
NJAU_C161	14.90233333	12.84433333	10.66	12.80222222
NJAU_C162	10.029	9.867666667	20.82666667	13.57444445
NJAU_C163	17.549	17.908	17.59666667	17.68455556
NJAU_C164	26.85566667	27.50666667	27.66333333	27.34188889
NJAU_C165	7.971333333	9.661666667	36.60333333	18.07877778
NJAU_C166	28.1835	31.8885	15.53333333	25.20177778
NJAU_C167	15.28366667	12.529	22.76666667	16.85977778
NJAU_C168	23.47133333	23.79233333	17.59333333	21.619
NJAU_C169	7.333333333	9.251	17.33	11.30477778
NJAU_C170	20.45333333	23.15333333	14.31666667	19.30777778
NJAU_C171	11.851	17.516	8.93	12.76566667
NJAU_C172	18.31266667	18.903	17.82333333	18.34633333
NJAU_C173	11.47133333	13.144	20.69333333	15.10288889
NJAU_C174	10.58733333	14.2195	17.4	14.06894444
NJAU_C175	19.501	18.14266667	14.27333333	17.30566667
NJAU_C176	19.411	19.07133333	14.96	17.81411111
NJAU_C177	14.241	15.6305	6.916666667	12.26272222
NJAU_C178	14.202	17.14866667	17.49	16.28022222
NJAU_C179	11.58333333	13.846	24.91	16.77977778
NJAU_C180	7.215666667	7.418333333	18.71666667	11.11688889
NJAU_C181	16.0165	16.07433333	22.51333333	18.20138889
NJAU_C182	12.289	13.06066667	21.39	15.57988889
NJAU_C183	10.7	18.407	17.04	15.38233333
NJAU_C184	5.217	6.357	17.53	9.701333333
NJAU_C185	11.3	17.5315	24.62333333	17.81827778
NJAU_C186	19.43566667	24.88766667	16.50333333	20.27555556
NJAU_C187	12.41	16.30366667	18.67	15.79455556
NJAU_C188	16.12	24.965	29.46333333	23.51611111
NJAU_C189	15.657	16.6815	27.33333333	19.89061111
NJAU_C190	20.94333333	25.09766667	7.083333333	17.70811111
NJAU_C191	13.49866667	13.88066667	20.27	15.88311111
NJAU_C192	5.079	7.0195	16.71	9.602833333
NJAU_C193	13.69766667	16.3165	24.79666667	18.27027778
NJAU_C194	17.14466667	19.41733333	26.49666667	21.01955556
NJAU_C195	13.32533333	19.868	19.17333333	17.45555555
NJAU_C196	17.43766667	25.94133333	22.67666667	22.01855556
NJAU_C197	17.78233333	19.66766667	15.92333333	17.79111111
NJAU_C198	15.267	16.13866667	21.68666667	17.69744445
NJAU_C199	15.57133333	18.583	23.14666667	19.10033333
NJAU_C200	16.75333333	19.57833333	21.58	19.30388889
NJAU_C201	16.53333333	19.15	11.28666667	15.65666667
NJAU_C202	12.378	15.56566667	19.19666667	15.71344445
NJAU_C203	35.511	24.67433333	28.02666667	29.404
NJAU_C204	13.03	13.627	NA	13.3285
NJAU_C205	23.43	20.15866667	NA	21.79433334
NJAU_C206	17.11533333	19.547	NA	18.33116667
NJAU_C207	8.620333333	12.90533333	22.42666667	14.65077778
NJAU_C208	13.63	16.72866667	NA	15.17933334
NJAU_C209	16.86166667	19.1605	13.10666667	16.37627778
NJAU_C210	9.607666667	11.602	30.6	17.26988889
NJAU_C211	18.329	25.81033333	9.726666667	17.95533333
NJAU_C212	7.491333333	8.362	11.38333333	9.078888888
NJAU_C213	15.17666667	17.644	NA	16.41033334
NJAU_C214	19.83266667	18.49333333	NA	19.163
NJAU_C215	9.73	15.621	9.146666667	11.49922222
NJAU_C216	24.27766667	12.974	NA	18.62583334
NJAU_C217	22.56666667	20.20233333	NA	21.3845
NJAU_C218	5.133	7.561	25.24333333	12.64577778
NJAU_C219	20.439	22.44	8.146666667	17.00855556
